Volatility 3 Framework 1.2.1-beta.1

PID	Process	Args
3040	sedsvc.exe	Required memory at 0x1e1eb461ac8 is inaccessible (swapped)
3180	cmd.exe	Required memory at 0x1b90d83020 is not valid (process exited?)
4724	Microsoft.Phot	"C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.19111.24110.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca
5896	SkypeApp.exe	"C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.56.102.0_x64__kzf8qxf38zg5c\SkypeApp.exe" -ServerName:App.AppXffn3yxqvgawq9fpmnhy90fr3y01d1t5b.mca
7160	HxOutlook.exe	Required memory at 0xef5cfb9020 is not valid (process exited?)
5172	HxTsr.exe	"C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.12827.20400.0_x64__8wekyb3d8bbwe\HxTsr.exe" -ServerName:Hx.IPC.Server
6628	chrome.exe	Required memory at 0x6429046020 is not valid (process exited?)
4688	HxOutlook.exe	"C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.12827.20400.0_x64__8wekyb3d8bbwe\HxOutlook.exe" -ServerName:microsoft.windowslive.mail.AppXfbjsbkxvprcgqg6q4c9jfr0pn3kv9x5s.mca
1276	backgroundTask	Required memory at 0xd1320e3020 is not valid (process exited?)
4804	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p
5872	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" 
7088	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=crashpad-handler "--user-data-dir=C:\Users\Jimmie Castora\AppData\Local\Google\Chrome\User Data" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Jimmie Castora\AppData\Local\Google\Chrome\User Data\Crashpad" "--metrics-dir=C:\Users\Jimmie Castora\AppData\Local\Google\Chrome\User Data" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=83.0.4103.116 --initial-client-data=0xcc,0xd0,0xd4,0xa8,0xd8,0x7ffb9958bd28,0x7ffb9958bd38,0x7ffb9958bd48
4940	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=gpu-process --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --gpu-preferences=MAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAA= --mojo-platform-channel-handle=1456 /prefetch:2
5736	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=utility --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --lang=en-US --service-sandbox-type=network --enable-audio-service-sandbox --mojo-platform-channel-handle=1856 /prefetch:8
7108	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --disable-gpu-compositing --lang=en-US --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=11 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3060 /prefetch:1
6880	av-20200624193	Required memory at 0x34a020 is not valid (process exited?)
3944	cmd.exe	Required memory at 0xb0e0fa7020 is not valid (process exited?)
5432	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
376	SkypeBackgroun	"C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.56.102.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe" -ServerName:SkypeBackgroundHost
5448	explorer.exe	explorer.exe  -lnvp 6666
5288	wuauclt.exe	"C:\Windows\system32\wuauclt.exe" /RunHandlerComServer
2572	TrustedInstall	C:\Windows\servicing\TrustedInstaller.exe
2796	TiWorker.exe	C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17134.1_none_eedfeda03074e04e\TiWorker.exe -Embedding
6844	cmd.exe	Required memory at 0xc89b410020 is not valid (process exited?)
4424	cmd.exe	C:\Windows\system32\cmd.exe
6372	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
656	taskhostw.exe	taskhostw.exe
3100	explorer.exe	explorer.exe  192.168.1.157 6666 -e cmd.exe
4640	cmd.exe	cmd.exe
1048	smartscreen.ex	C:\Windows\System32\smartscreen.exe -Embedding
784	cmd.exe	"C:\Windows\system32\cmd.exe" 
3480	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
4976	svchost.exe	C:\Windows\System32\svchost.exe -k wsappx -p
4396	SearchProtocol	Required memory at 0x32d8d31020 is not valid (process exited?)
4432	SearchFilterHo	Required memory at 0xe40277020 is not valid (process exited?)
3432	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --disable-gpu-compositing --lang=en-US --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=26 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4664 /prefetch:1
5876	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --disable-gpu-compositing --lang=en-US --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=27 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3716 /prefetch:1
3140	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --disable-gpu-compositing --lang=en-US --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=28 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3336 /prefetch:1
4828	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --disable-gpu-compositing --lang=en-US --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=29 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3368 /prefetch:1
6044	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=utility --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --lang=en-US --service-sandbox-type=xr_compositing --enable-audio-service-sandbox --mojo-platform-channel-handle=5252 /prefetch:8
2512	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=utility --field-trial-handle=1436,13717101187713181098,6595855158209503465,131072 --lang=en-US --service-sandbox-type=none --enable-audio-service-sandbox --mojo-platform-channel-handle=5444 /prefetch:8
3348	winpmem_v3.3.r	winpmem_v3.3.rc3.exe  --output mem.raw --format raw --volume_format raw
