Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff87868e88d440 System                    4      0    111        0 ------      0 2020-06-26 15:07:32 UTC+0000                                 
0xffff87868e975040 Registry                 88      4      3        0 ------      0 2020-06-26 15:07:23 UTC+0000                                 
0xffff878690147040 smss.exe                348      4      2        0 ------      0 2020-06-26 15:07:32 UTC+0000                                 
0xffff87868f9a6580 Microsoft.Phot         4724    764     14        0      1      0 2020-06-26 15:20:49 UTC+0000                                 
0xffff87868ede9080 SkypeApp.exe           5896    764     23        0      1      0 2020-06-26 15:21:02 UTC+0000                                 
0xffff87868f826080 HxOutlook.exe          7160    764      0 --------      1      0 2020-06-26 15:31:23 UTC+0000   2020-06-26 15:31:54 UTC+0000  
0xffff878691080580 HxTsr.exe              5172    764     14        0      1      0 2020-06-26 15:31:30 UTC+0000                                 
0xffff878690466080 chrome.exe             6628   2316      0 --------      1      0 2020-06-26 15:31:56 UTC+0000   2020-06-26 15:33:21 UTC+0000  
0xffff878691056580 HxOutlook.exe          4688    764     24        0      1      0 2020-06-26 15:32:47 UTC+0000                                 
0xffff87868f10a080 backgroundTask         1276    764      0 --------      1      0 2020-06-26 15:32:50 UTC+0000   2020-06-26 15:33:51 UTC+0000  
0xffff87868f3804c0 svchost.exe            4804    648      9        0      0      0 2020-06-26 15:33:05 UTC+0000                                 
0xffff87868f399080 chrome.exe             5872   2316     32        0      1      0 2020-06-26 15:34:25 UTC+0000                                 
0xffff87868fb1f080 chrome.exe             7088   5872      9        0      1      0 2020-06-26 15:34:25 UTC+0000                                 
0xffff878691535580 chrome.exe             4940   5872     10        0      1      0 2020-06-26 15:34:25 UTC+0000                                 
0xffff8786914bb580 chrome.exe             5736   5872     13        0      1      0 2020-06-26 15:34:25 UTC+0000                                 
0xffff8786916713c0 chrome.exe             7108   5872     13        0      1      0 2020-06-26 15:34:35 UTC+0000                                 
0xffff87868ec71080 av-20200624193         6880   2316      0 --------      1      1 2020-06-26 15:36:10 UTC+0000   2020-06-26 15:36:41 UTC+0000  
0xffff878691456080 cmd.exe                3944   4448      0 --------      0      0 2020-06-26 15:37:19 UTC+0000   2020-06-26 15:44:33 UTC+0000  
0xffff87868fd63580 conhost.exe            5432   3944      4        0      0      0 2020-06-26 15:37:19 UTC+0000                                 
0xffff87868f29d380 SkypeBackgroun          376    764      4        0      1      0 2020-06-26 15:38:06 UTC+0000                                 
0xffff878691762080 explorer.exe           5448   3944      1        0      0      1 2020-06-26 15:43:14 UTC+0000                                 
0xffff87868fa02580 wuauclt.exe            5288     60      7        0      0      0 2020-06-26 15:43:18 UTC+0000                                 
0xffff8786914d2580 TrustedInstall         2572    648      5        0      0      0 2020-06-26 15:43:20 UTC+0000                                 
0xffff878691219080 TiWorker.exe           2796    764      4        0      0      0 2020-06-26 15:43:20 UTC+0000                                 
0xffff87868ec27080 cmd.exe                6844   4448      0 --------      0      0 2020-06-26 15:44:35 UTC+0000   2020-06-26 15:46:20 UTC+0000  
0xffff878691457580 cmd.exe                4424   4448      1        0      0      0 2020-06-26 15:46:51 UTC+0000                                 
0xffff87868f998080 conhost.exe            6372   4424      3        0      0      0 2020-06-26 15:46:51 UTC+0000                                 
0xffff87869038d580 taskhostw.exe           656     60      8        0      1      0 2020-06-26 15:48:06 UTC+0000                                 
0xffff87868f773080 explorer.exe           3100   4424      5        0      0      1 2020-06-26 15:48:21 UTC+0000                                 
0xffff87868f77b340 cmd.exe                4640   3100      1        0      0      1 2020-06-26 15:48:21 UTC+0000                                 
0xffff87868fb16340 smartscreen.ex         1048    764     15        0      1      0 2020-06-26 15:48:37 UTC+0000                                 
0xffff87868f81d080 cmd.exe                 784   2316      1        0      1      0 2020-06-26 15:48:50 UTC+0000                                 
0xffff878691422080 conhost.exe            3480    784      5        0      1      0 2020-06-26 15:48:50 UTC+0000                                 
0xffff87868ed40580 svchost.exe            4976    648      3        0      0      0 2020-06-26 15:48:59 UTC+0000                                 
0xffff878690744380 SearchProtocol         4396   4448      0 --------      0      0 2020-06-26 15:50:01 UTC+0000   2020-06-26 15:51:50 UTC+0000  
0xffff87868f082580 SearchFilterHo         4432   4448      4        0      0      0 2020-06-26 15:50:01 UTC+0000                                 
0xffff8786913b7580 chrome.exe             3432   5872     13        0      1      0 2020-06-26 15:51:01 UTC+0000                                 
0xffff87868faef580 chrome.exe             5876   5872     13        0      1      0 2020-06-26 15:51:03 UTC+0000                                 
0xffff87868f26c580 chrome.exe             3140   5872     16        0      1      0 2020-06-26 15:51:03 UTC+0000                                 
0xffff87869030e080 chrome.exe             4828   5872     11        0      1      0 2020-06-26 15:51:04 UTC+0000                                 
0xffff87868f047080 chrome.exe             6044   5872      6        0      1      0 2020-06-26 15:51:05 UTC+0000                                 
0xffff87868ebef080 chrome.exe             2512   5872     21        0      1      0 2020-06-26 15:51:06 UTC+0000                                 
0xffff87868f2e1080 winpmem_v3.3.r         3348    784      5        0      1      1 2020-06-26 15:51:36 UTC+0000                                 
